system   I             system.c:245  al_install_system                [   0.00044] Allegro version: 5.1.12 (WIP)
display  D   display_settings.c:202  debug_display_settings           [   0.02256] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02260] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02262] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02265] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02268] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02271] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02274] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02277] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02279] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02282] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02285] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02288] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02291] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02294] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02296] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02300] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02302] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02305] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02308] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02311] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02313] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02317] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02319] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02322] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02325] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02328] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02331] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02334] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02337] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02341] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02343] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02346] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02349] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02352] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02354] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02357] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02360] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02363] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02365] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02368] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02370] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02374] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02376] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02379] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02382] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02385] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02387] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02390] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02393] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02396] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02398] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02401] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02404] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02407] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02409] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02412] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02415] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02418] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02420] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02423] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02426] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02431] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02434] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02437] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02440] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02444] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02446] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.02449] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02452] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02455] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02457] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02460] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.02463] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.02466] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1670 d3d_create_display_internals     [   0.02472] Trying format 0.
d3d      I         d3d_disp.cpp:1346 d3d_display_thread_proc          [   0.02616] Chose a display format: 23
d3d      I         d3d_disp.cpp:1415 d3d_display_thread_proc          [   0.02621] Normal window.
d3d      I         d3d_disp.cpp:779  d3d_create_device                [   0.03622] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:837  d3d_create_device                [   0.13170] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:845  d3d_create_device                [   0.13176] Success
d3d      D         d3d_disp.cpp:1693 d3d_create_display_internals     [   0.13180] Resumed after wait.
d3d      I         d3d_disp.cpp:1726 d3d_create_display_internals     [   0.13187] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1757 d3d_create_display_internals     [   0.13192] Returning d3d_display: 004B88D8
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.13195] al_display=004B88D8
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.13198] al_display->vt=004B87F8
system   D            wsystem.c:674  maybe_parent_dir                 [   0.13211] Also searching C:\Users\Gaspar\Desktop\TP-Final-Slime-Apocalypse\Slime Apocalypse\Novak\bin\Win32\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.13231] PathFindOnPath found: C:\Windows\system32\d3dx9_43.dll
system   D            wsystem.c:635  load_library_at_path             [   0.13234] Calling LoadLibrary C:\Windows\system32\d3dx9_43.dll
system   I            wsystem.c:638  load_library_at_path             [   0.13412] Loaded C:\Windows\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.13419] Module "d3dx9_43.dll" loaded.
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.13437] Loading DirectSound module
system   D            wsystem.c:674  maybe_parent_dir                 [   0.13444] Also searching C:\Users\Gaspar\Desktop\TP-Final-Slime-Apocalypse\Slime Apocalypse\Novak\bin\Win32\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.13463] PathFindOnPath found: C:\Windows\system32\dsound.dll
system   D            wsystem.c:635  load_library_at_path             [   0.13466] Calling LoadLibrary C:\Windows\system32\dsound.dll
system   I            wsystem.c:638  load_library_at_path             [   0.13585] Loaded C:\Windows\system32\dsound.dll
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.13591] Starting DirectSound...
audio-dsound D           dsound.cpp:285  _dsound_open                     [   0.15696] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.15809] Using DirectSound driver
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15831] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15834] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15837] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15839] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15841] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15844] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15846] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15849] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15851] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.15853] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.15856] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.15858] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.15861] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.15908] added dtor for object 049E2598, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.15918] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.15921] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16074] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16077] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16079] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16082] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16084] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16087] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16089] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16091] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16094] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.16096] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.16099] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.16101] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.16104] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.16121] added dtor for object 049F2AA8, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.16126] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.16129] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16177] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16180] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16182] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16185] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16187] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16190] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16192] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16194] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16197] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.16199] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.16201] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.16204] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.16207] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.16224] added dtor for object 049F7560, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.16231] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.16234] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16282] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16285] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16287] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16290] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16292] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16294] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16297] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16299] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16301] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.16304] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.16306] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.16309] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.16311] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.16328] added dtor for object 049FC018, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.16334] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.16337] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16385] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16388] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16390] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16393] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16395] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16398] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16400] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16403] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16405] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.16407] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.16410] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.16412] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.16415] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.16432] added dtor for object 04A04C00, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.16440] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.16445] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16497] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16501] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16503] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16505] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16508] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16510] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16512] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16515] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16517] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.16520] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.16522] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.16524] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.16527] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.16548] added dtor for object 04A08FE8, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.16553] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.16555] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16610] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16613] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16616] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16618] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16621] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16623] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16625] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16628] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16630] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.16632] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.16635] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.16638] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.16640] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.16658] added dtor for object 04A0D320, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.16663] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.16666] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16715] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16718] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16720] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16724] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16727] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16730] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16732] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16735] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16737] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.16739] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.16742] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.16744] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.16747] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.16765] added dtor for object 04A15CB8, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.16770] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.16773] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16825] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16828] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16831] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16834] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16836] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16838] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16841] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16843] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16845] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.16848] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.16850] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.16853] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.16855] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.16914] added dtor for object 048CFE60, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.17144] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.17147] _al_d3d_sync_bitmap (video) ref count == 1
audio-dsound D           dsound.cpp:320  _dsound_allocate_voice           [   0.18047] Allocating voice
audio-dsound D           dsound.cpp:379  _dsound_allocate_voice           [   0.18055] Allocated voice
dtor     D               dtor.c:184  _al_register_destructor          [   0.18058] added dtor for object 04912570, func 00181177
dtor     D               dtor.c:184  _al_register_destructor          [   0.18061] added dtor for object 04A00AD0, func 001811F4
audio-dsound D           dsound.cpp:476  _dsound_start_voice              [   0.18064] Starting voice
audio-dsound D           dsound.cpp:504  _dsound_start_voice              [   0.18066] CreateSoundBuffer
audio-dsound D           dsound.cpp:513  _dsound_start_voice              [   0.18247] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:519  _dsound_start_voice              [   0.18253] Starting _dsound_update thread
audio-dsound I           dsound.cpp:529  _dsound_start_voice              [   0.18302] Voice started
dtor     D               dtor.c:184  _al_register_destructor          [   0.18365] added dtor for object 048FC2C0, func 001814B0
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.18370] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18374] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18376] 
dtor     D               dtor.c:184  _al_register_destructor          [   0.18379] added dtor for object 048FC3C8, func 001814B0
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.18393] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18396] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18400] 
dtor     D               dtor.c:184  _al_register_destructor          [   0.18404] added dtor for object 048FC4D0, func 001814B0
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.18408] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18410] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18413] 
dtor     D               dtor.c:184  _al_register_destructor          [   0.18417] added dtor for object 048FC5D8, func 001814B0
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.18420] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18426] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18429] 
dtor     D               dtor.c:184  _al_register_destructor          [   0.18432] added dtor for object 048FC6E0, func 001814B0
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.18436] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18440] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18442] 
dtor     D               dtor.c:184  _al_register_destructor          [   0.18445] added dtor for object 048FC7E8, func 001814B0
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.18448] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18451] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18453] 
dtor     D               dtor.c:184  _al_register_destructor          [   0.18456] added dtor for object 048FC8F0, func 001814B0
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.18459] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18461] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18464] 
